Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.5,0.0375,0.06976744186046512,0.23636363636363636,0.1625,0.1925925925925926,1.0,0.1625,0.1762820512820513
0.5,0.0375,0.06976744186046512,0.2857142857142857,0.2,0.23529411764705882,1.0,0.2,0.1794871794871795
0.5,0.0375,0.06976744186046512,0.34782608695652173,0.2,0.253968253968254,1.0,0.2,0.14743589743589744
0.5,0.0375,0.06976744186046512,0.2653061224489796,0.1625,0.20155038759689922,2.0,0.1625,0.15705128205128205
0.5,0.0375,0.06976744186046512,0.2978723404255319,0.175,0.22047244094488186,2.0,0.175,0.15064102564102563
0.5,0.0375,0.06976744186046512,0.22535211267605634,0.2,0.21192052980132453,0.0,0.2,0.22756410256410256
0.5,0.0375,0.06976744186046512,0.2,0.125,0.15384615384615385,1.0,0.125,0.16025641025641027
0.5,0.0375,0.06976744186046512,0.28,0.175,0.2153846153846154,3.0,0.175,0.16025641025641027
0.5,0.0375,0.06976744186046512,0.17333333333333334,0.1625,0.167741935483871,2.0,0.1625,0.2403846153846154
0.5,0.0375,0.06976744186046512,0.19718309859154928,0.175,0.18543046357615892,0.0,0.175,0.22756410256410256
0.5,0.0375,0.06976744186046512,0.2708333333333333,0.1625,0.20312499999999997,0.0,0.1625,0.15384615384615385
0.5,0.0375,0.06976744186046512,0.21951219512195122,0.225,0.22222222222222224,2.0,0.225,0.26282051282051283
0.5,0.0375,0.06976744186046512,0.35,0.2625,0.3,2.0,0.2625,0.19230769230769232
0.5,0.0375,0.06976744186046512,0.3695652173913043,0.2125,0.2698412698412698,1.0,0.2125,0.14743589743589744
0.5,0.0375,0.06976744186046512,0.34782608695652173,0.1,0.15533980582524273,0.0,0.1,0.07371794871794872
0.5,0.0375,0.06976744186046512,0.25,0.2,0.22222222222222224,1.0,0.2,0.20512820512820512
0.5,0.0375,0.06976744186046512,0.3090909090909091,0.2125,0.2518518518518518,1.0,0.2125,0.1762820512820513
0.5,0.0375,0.06976744186046512,0.25,0.1625,0.196969696969697,0.0,0.1625,0.16666666666666666
0.5,0.0375,0.06976744186046512,0.28169014084507044,0.25,0.2649006622516556,2.0,0.25,0.22756410256410256
0.5,0.0375,0.06976744186046512,0.22807017543859648,0.1625,0.18978102189781018,2.0,0.1625,0.18269230769230768
