Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.375,0.25,0.3,0.2727272727272727,0.25,0.2608695652173913,4.0,0.25,0.28205128205128205
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,0.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,1.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.2727272727272727,0.25,0.2608695652173913,3.0,0.25,0.28205128205128205
0.375,0.25,0.3,0.2727272727272727,0.25,0.2608695652173913,5.0,0.25,0.28205128205128205
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,1.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,2.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.3333333333333333,0.25,0.28571428571428575,4.0,0.25,0.23076923076923078
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,1.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3076923076923077
0.375,0.25,0.3,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.0,0.4166666666666667,0.28205128205128205
0.375,0.25,0.3,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.4166666666666667,0.3076923076923077
0.375,0.25,0.3,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.0,0.4166666666666667,0.358974358974359
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,0.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,0.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.46153846153846156,0.5,0.48000000000000004,1.0,0.5,0.3333333333333333
0.375,0.25,0.3,0.3333333333333333,0.25,0.28571428571428575,4.0,0.25,0.23076923076923078
0.375,0.25,0.3,0.5,0.5,0.5,0.0,0.5,0.3076923076923077
0.375,0.25,0.3,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.0,0.4166666666666667,0.358974358974359
0.375,0.25,0.3,0.42857142857142855,0.5,0.4615384615384615,1.0,0.5,0.358974358974359
0.375,0.25,0.3,0.42857142857142855,0.5,0.4615384615384615,4.0,0.5,0.358974358974359
0.375,0.25,0.3,0.4,0.5,0.4444444444444445,1.0,0.5,0.38461538461538464
0.375,0.25,0.3,0.35714285714285715,0.4166666666666667,0.3846153846153846,1.0,0.4166666666666667,0.358974358974359
0.375,0.25,0.3,0.3076923076923077,0.3333333333333333,0.32,0.0,0.3333333333333333,0.3333333333333333
0.375,0.25,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3076923076923077
0.375,0.25,0.3,0.4,0.5,0.4444444444444445,1.0,0.5,0.38461538461538464
0.375,0.25,0.3,0.3076923076923077,0.3333333333333333,0.32,1.0,0.3333333333333333,0.3333333333333333
0.375,0.25,0.3,0.25,0.3333333333333333,0.28571428571428575,1.0,0.3333333333333333,0.41025641025641024
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,1.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.4,0.3333333333333333,0.3636363636363636,1.0,0.3333333333333333,0.2564102564102564
0.375,0.25,0.3,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.0,0.4166666666666667,0.358974358974359
0.375,0.25,0.3,0.3333333333333333,0.25,0.28571428571428575,2.0,0.25,0.23076923076923078
0.375,0.25,0.3,0.3076923076923077,0.3333333333333333,0.32,0.0,0.3333333333333333,0.3333333333333333
0.375,0.25,0.3,0.3076923076923077,0.3333333333333333,0.32,0.0,0.3333333333333333,0.3333333333333333
0.375,0.25,0.3,0.35714285714285715,0.4166666666666667,0.3846153846153846,1.0,0.4166666666666667,0.358974358974359
0.375,0.25,0.3,0.38461538461538464,0.4166666666666667,0.4,4.0,0.4166666666666667,0.3333333333333333
0.375,0.25,0.3,0.375,0.5,0.42857142857142855,2.0,0.5,0.41025641025641024
0.375,0.25,0.3,0.3333333333333333,0.25,0.28571428571428575,5.0,0.25,0.23076923076923078
0.375,0.25,0.3,0.46153846153846156,0.5,0.48000000000000004,1.0,0.5,0.3333333333333333
