Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.25,0.1,0.14285714285714288,0.16666666666666666,0.2,0.1818181818181818,2.0,0.2,0.3076923076923077
0.25,0.1,0.14285714285714288,0.3333333333333333,0.3,0.3157894736842105,0.0,0.3,0.23076923076923078
0.25,0.1,0.14285714285714288,0.26666666666666666,0.4,0.32,1.0,0.4,0.38461538461538464
0.25,0.1,0.14285714285714288,0.2,0.2,0.20000000000000004,1.0,0.2,0.2564102564102564
0.25,0.1,0.14285714285714288,0.3333333333333333,0.2,0.25,2.0,0.2,0.15384615384615385
0.25,0.1,0.14285714285714288,0.16666666666666666,0.1,0.125,0.0,0.1,0.15384615384615385
0.25,0.1,0.14285714285714288,0.3333333333333333,0.3,0.3157894736842105,0.0,0.3,0.23076923076923078
0.25,0.1,0.14285714285714288,0.3,0.3,0.3,2.0,0.3,0.2564102564102564
0.25,0.1,0.14285714285714288,0.14285714285714285,0.1,0.11764705882352941,0.0,0.1,0.1794871794871795
0.25,0.1,0.14285714285714288,0.2222222222222222,0.2,0.2105263157894737,0.0,0.2,0.23076923076923078
0.25,0.1,0.14285714285714288,0.3,0.3,0.3,0.0,0.3,0.2564102564102564
0.25,0.1,0.14285714285714288,0.42857142857142855,0.3,0.3529411764705882,2.0,0.3,0.1794871794871795
0.25,0.1,0.14285714285714288,0.25,0.3,0.2727272727272727,0.0,0.3,0.3076923076923077
0.25,0.1,0.14285714285714288,0.2222222222222222,0.2,0.2105263157894737,0.0,0.2,0.23076923076923078
0.25,0.1,0.14285714285714288,0.2222222222222222,0.2,0.2105263157894737,0.0,0.2,0.23076923076923078
0.25,0.1,0.14285714285714288,0.25,0.3,0.2727272727272727,1.0,0.3,0.3076923076923077
0.25,0.1,0.14285714285714288,0.14285714285714285,0.1,0.11764705882352941,1.0,0.1,0.1794871794871795
0.25,0.1,0.14285714285714288,0.2727272727272727,0.3,0.28571428571428564,0.0,0.3,0.28205128205128205
0.25,0.1,0.14285714285714288,0.18181818181818182,0.2,0.1904761904761905,0.0,0.2,0.28205128205128205
0.25,0.1,0.14285714285714288,0.3076923076923077,0.4,0.34782608695652173,1.0,0.4,0.3333333333333333
0.25,0.1,0.14285714285714288,0.1875,0.3,0.23076923076923075,1.0,0.3,0.41025641025641024
0.25,0.1,0.14285714285714288,0.2,0.3,0.24,0.0,0.3,0.38461538461538464
0.25,0.1,0.14285714285714288,0.21428571428571427,0.3,0.25,1.0,0.3,0.358974358974359
0.25,0.1,0.14285714285714288,0.21428571428571427,0.3,0.25,1.0,0.3,0.358974358974359
0.25,0.1,0.14285714285714288,0.2222222222222222,0.2,0.2105263157894737,3.0,0.2,0.23076923076923078
0.25,0.1,0.14285714285714288,0.2,0.3,0.24,0.0,0.3,0.38461538461538464
0.25,0.1,0.14285714285714288,0.21428571428571427,0.3,0.25,1.0,0.3,0.358974358974359
0.25,0.1,0.14285714285714288,0.4166666666666667,0.5,0.45454545454545453,0.0,0.5,0.3076923076923077
0.25,0.1,0.14285714285714288,0.16666666666666666,0.1,0.125,0.0,0.1,0.15384615384615385
0.25,0.1,0.14285714285714288,0.16666666666666666,0.1,0.125,0.0,0.1,0.15384615384615385
0.25,0.1,0.14285714285714288,0.25,0.3,0.2727272727272727,0.0,0.3,0.3076923076923077
0.25,0.1,0.14285714285714288,0.35294117647058826,0.6,0.4444444444444445,2.0,0.6,0.4358974358974359
0.25,0.1,0.14285714285714288,0.21428571428571427,0.3,0.25,1.0,0.3,0.358974358974359
0.25,0.1,0.14285714285714288,0.21428571428571427,0.3,0.25,1.0,0.3,0.358974358974359
0.25,0.1,0.14285714285714288,0.25,0.3,0.2727272727272727,1.0,0.3,0.3076923076923077
0.25,0.1,0.14285714285714288,0.2,0.3,0.24,1.0,0.3,0.38461538461538464
0.25,0.1,0.14285714285714288,0.2,0.2,0.20000000000000004,1.0,0.2,0.2564102564102564
0.25,0.1,0.14285714285714288,0.18181818181818182,0.2,0.1904761904761905,2.0,0.2,0.28205128205128205
0.25,0.1,0.14285714285714288,0.25,0.3,0.2727272727272727,1.0,0.3,0.3076923076923077
