Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,13.0,0.0,0.26
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,12.0,0.0,0.24
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,8.0,0.0,0.16
0.12,1.0,0.21428571428571425,0.25,0.5,0.3333333333333333,2.0,0.5,0.24
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,19.0,0.0,0.38
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,12.0,0.0,0.24
0.12,1.0,0.21428571428571425,0.1,0.16666666666666666,0.125,7.0,0.16666666666666666,0.2
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,10.0,0.0,0.2
0.12,1.0,0.21428571428571425,0.08333333333333333,0.16666666666666666,0.1111111111111111,5.0,0.16666666666666666,0.24
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,8.0,0.0,0.16
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,14.0,0.0,0.28
0.12,1.0,0.21428571428571425,0.3333333333333333,0.5,0.4,1.0,0.5,0.18
0.12,1.0,0.21428571428571425,0.2727272727272727,0.5,0.3529411764705882,2.0,0.5,0.22
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,7.0,0.0,0.14
0.12,1.0,0.21428571428571425,0.42857142857142855,0.5,0.4615384615384615,3.0,0.5,0.14
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,13.0,0.0,0.26
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,12.0,0.0,0.24
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,13.0,0.0,0.26
0.12,1.0,0.21428571428571425,0.1,0.16666666666666666,0.125,3.0,0.16666666666666666,0.2
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,13.0,0.0,0.26
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,12.0,0.0,0.24
0.12,1.0,0.21428571428571425,0.25,0.3333333333333333,0.28571428571428575,0.0,0.3333333333333333,0.16
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,12.0,0.0,0.24
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,8.0,0.0,0.16
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,13.0,0.0,0.26
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,10.0,0.0,0.2
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,9.0,0.0,0.18
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,8.0,0.0,0.16
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,15.0,0.0,0.3
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,25.0,0.0,0.5
0.12,1.0,0.21428571428571425,0.0,0.0,0.0,15.0,0.0,0.3
