Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.13333333333333333,0.4,0.2,13.0,0.4,0.3
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.15384615384615385,0.4,0.2222222222222222,9.0,0.4,0.26
0.0,0.0,0.0,0.11764705882352941,0.4,0.1818181818181818,8.0,0.4,0.34
0.0,0.0,0.0,0.09090909090909091,0.2,0.12500000000000003,8.0,0.2,0.22
0.0,0.0,0.0,0.13333333333333333,0.4,0.2,13.0,0.4,0.3
0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,9.0,0.2,0.24
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.16
0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,12.0,0.2,0.26
0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,6.0,0.2,0.26
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,11.0,0.2,0.3
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.16
0.0,0.0,0.0,0.16666666666666666,0.4,0.23529411764705882,8.0,0.4,0.24
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.24
0.0,0.0,0.0,0.1111111111111111,0.2,0.14285714285714285,8.0,0.2,0.18
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.1111111111111111,0.2,0.14285714285714285,8.0,0.2,0.18
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.18
0.0,0.0,0.0,0.1,0.2,0.13333333333333333,7.0,0.2,0.2
0.0,0.0,0.0,0.09090909090909091,0.2,0.12500000000000003,8.0,0.2,0.22
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,12.0,0.2,0.3
0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,8.0,0.2,0.24
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.22
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.058823529411764705,0.2,0.0909090909090909,13.0,0.2,0.34
0.0,0.0,0.0,0.11764705882352941,0.4,0.1818181818181818,11.0,0.4,0.34
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.24
