Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.34
0.0,0.0,0.0,0.10526315789473684,0.4,0.16666666666666666,13.0,0.4,0.38
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.44
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,12.0,0.2,0.28
0.0,0.0,0.0,0.10526315789473684,0.4,0.16666666666666666,13.0,0.4,0.38
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,12.0,0.2,0.3
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,13.0,0.2,0.28
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2
0.0,0.0,0.0,0.058823529411764705,0.2,0.0909090909090909,14.0,0.2,0.34
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0625,0.2,0.09523809523809523,12.0,0.2,0.32
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.24
0.0,0.0,0.0,0.0625,0.2,0.09523809523809523,13.0,0.2,0.32
0.0,0.0,0.0,0.05263157894736842,0.2,0.08333333333333333,18.0,0.2,0.38
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.05555555555555555,0.2,0.08695652173913045,14.0,0.2,0.36
0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,11.0,0.2,0.24
0.0,0.0,0.0,0.05263157894736842,0.2,0.08333333333333333,18.0,0.2,0.38
0.0,0.0,0.0,0.058823529411764705,0.2,0.0909090909090909,16.0,0.2,0.34
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,12.0,0.2,0.28
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,12.0,0.2,0.28
0.0,0.0,0.0,0.0625,0.2,0.09523809523809523,14.0,0.2,0.32
0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,12.0,0.2,0.26
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,14.0,0.2,0.3
0.0,0.0,0.0,0.05555555555555555,0.2,0.08695652173913045,17.0,0.2,0.36
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,13.0,0.2,0.28
0.0,0.0,0.0,0.047619047619047616,0.2,0.07692307692307693,18.0,0.2,0.42
0.0,0.0,0.0,0.045454545454545456,0.2,0.07407407407407407,21.0,0.2,0.44
0.0,0.0,0.0,0.0625,0.2,0.09523809523809523,13.0,0.2,0.32
