Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,12.0,0.2,0.28
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,11.0,0.2,0.28
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,12.0,0.2,0.3
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,13.0,0.2,0.28
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,13.0,0.2,0.28
0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,10.0,0.2,0.24
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.07142857142857142,0.2,0.10526315789473682,11.0,0.2,0.28
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,11.0,0.2,0.26
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,12.0,0.2,0.26
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.38
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.36
0.0,0.0,0.0,0.06666666666666667,0.2,0.1,12.0,0.2,0.3
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.32
